name	description	datasheet
14529	Dual 4 to 1 Multiplexer	http://www.alldatasheet.com/datasheet-pdf/pdf/97272/HITACHI/HD14529B.html
4001	Quad Nor 2 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf
4002	Dual  4 input NOR gate	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf
4009	Hex Buffer Inverter	http://www.sycelectronica.com.ar/semiconductores/CD4009.pdf
4010	Hex Buffer	http://www.ti.com/lit/ds/symlink/cd4010b-q1.pdf
40106	Hex Schmitt trigger inverter	https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf
4011	Quad Nand 2 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf
4012	Dual 4 inputs Nand	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf
4013	Dual D  FlipFlop, Set & reset	http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF
4016	Quad Analog Switches	http://www.ti.com/lit/ds/symlink/cd4016b.pdf
4017	Johnson Counter ( 10 outputs )	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf
4020	Binary counter 14 stages (asynchronous)	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4020bms-24bms-40bms.pdf
4021	8-bit static shift register	https://assets.nexperia.com/documents/data-sheet/HEF4021B.pdf
4022	Johnson Counter (8 states)	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf
4023	Triple Nand 3 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf
4025	Triple Nor 3 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf
4027	Dual JK FlipFlop, set & reset	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4027bms.pdf
4028	Decoder 4 to 10 lines	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4028bms.pdf
4029	Up/Down Counter	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4029bms.pdf
4040	Binary Counter 12 stages (Asynchronous)	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4020bms-24bms-40bms.pdf
4046	Phase Comp & VCO	https://assets.nexperia.com/documents/data-sheet/HEF4046B.pdf
4047	Monostable/Astable Multivibrator	https://www.ti.com/lit/ds/symlink/cd4047b.pdf
4049	Hex Buffer Inverter	http://www.intersil.com/content/dam/intersil/documents/cd40/cd4049ubms.pdf
4050	Hex Buffer	http://www.intersil.com/content/dam/intersil/documents/cd40/cd4050bms.pdf
4051	Analog Multiplexer 8 to 1 lins	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf
4052	Dual Analog Multiplexer 4 to 1 line	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf
4053	Triple analog Multiplexer 2 to 1 line	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf
4056	BCD to 7-Segment Decoder/Driver, Strobed-Latch Function	http://www.ti.com/lit/ds/symlink/cd4056b.pdf
4060	Binary counter (14-stages) and oscillator	https://www.st.com/resource/en/datasheet/m74hc4060.pdf
4069	Hex inverter	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4069ubms.pdf
4070	Quad Xor 2 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4070bms-77bms.pdf
4071	Quad Or 2 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4071bms-72bms-75bms.pdf
4072	Dual 4 input OR gate	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4071bms-72bms-75bms.pdf
